Name,Description,Latitude,Longitude,URL,Thumb
New York Yankees,"First season: 1901; Average Attendance: 38,851; Playoff Appearances: 53; World Series Titles: 27",40.829562,-73.926258,https://www.youtube.com/embed/pyFkPo0dm_I#isVideo,https://usatftw.files.wordpress.com/2017/05/ap_royals_yankees_baseball_91147437.jpg?w=1000&h=600&crop=1
Oakland Athletics,"First season: 1901; Average Attendance: 18,219; Playoff Appearances: 26; World Series Titles: 9",37.751459,-122.200719,https://www.youtube.com/embed/jtwzQxE6OgY#isVideo,https://cbslive105.files.wordpress.com/2017/01/611923726.jpg?w=594
Philadelphia Phillies,"First season: 1883; Average Attendance: 23,523; Playoff Appearances: 14; World Series Titles: 2",39.906612,-75.166506,https://www.youtube.com/embed/WD213m_SfDo#isVideo,https://blog-blogmediainc.netdna-ssl.com/upload/SportsBlogcom/56555/0753043001459610713_filepicker.jpg
Pittsburgh Pirates,"First season: 1882; Average Attendance: 23,697; Playoff Appearances: 17; World Series Titles: 5",40.446887,-80.005594,https://www.youtube.com/embed/XmSgl9qtVJY#isVideo,https://www.visitpittsburgh.com/imager/files_idssasp_com/public/C32/048a7c25-af0f-4edb-9f53-43c4b4f8a7f1/84a8c5c7-bc73-4fc1-a7c7-79ec35e375b7_332a3f30441dc8600e93bc97af625206.jpg
San Diego Padres,"First season: 1969; Average Attendance: 26,401; Playoff Appearances: 5; World Series Titles: 0",32.707184,-117.157057,https://www.youtube.com/embed/TVYupLggfow#isVideo,https://s-media-cache-ak0.pinimg.com/originals/c4/03/b7/c403b79efdff4181d8e856b126ce4cad.jpg
San Francisco Giants,"First season: 1883; Average Attendance: 40,786; Playoff Appearances: 26; World Series Titles: 8",37.778478,-122.389323,https://www.youtube.com/embed/h1VF-GiDN0U#isVideo,https://www.mercurynews.com/wp-content/uploads/2017/12/bng-l-giants-0904-24.jpg?w=620
Seattle Mariners,"First season: 1977; Average Attendance: 26,364; Playoff Appearances: 4; World Series Titles: 0",47.590963,-122.333349,https://www.youtube.com/embed/fLzkovSzzsA#isVideo,https://cdn.deseretnews.com/images/article/hires/954031/954031.jpg
St. Louis Cardinals,"First season: 1882; Average Attendance: 42,567; Playoff appearances: 28; World Series Titles: 11",38.622259,-90.193715,https://www.youtube.com/embed/LouWNiYti6c#isVideo,https://static.rukkus.com/images/performer/headshots/st-louis-cardinals-tickets.jpg.870x570_q70_crop-smart_upscale.jpg
Tampa Bay Rays,"First season: 1998; Average Attendance: 15,477; Playoff Appearances: 4; World Series Titles: 0",27.768094,-82.653273,https://www.youtube.com/embed/rVBs1FqjqPc#isVideo,https://i.pinimg.com/736x/b3/2f/b9/b32fb9b922c38c6d69e530a081ced53b--tampa-bay-rays-cobb.jpg
Texas Rangers,"First season: 1961; Average Attendance: 30,960; Playoff Appearances: 8; World Series Titles: 0",32.751332,-97.082473,https://www.youtube.com/embed/nnz7fsKbTNQ#isVideo,https://i.axs.com/2015/04/77787186-image-optimized_553e47f561d2d.jpg
Toronto Blue Jays,"First season: 1977; Average Attendance: 39,554; Playoff Appearances: 7; World Series Titles: 2",43.641511,-79.382878,https://www.youtube.com/embed/7C-Fm7W5sbI#isVideo,https://i.cbc.ca/1.3272882.1444931451!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/wip-blue-jays-jose-bautista-game-5-home-run-oct-14-2015.jpg
Washington Nationals,"First season: 2005; Average Attendance: 31,173; Playoff Appearances: 5; World Series Titles: 0",38.872704,-77.007623,https://www.youtube.com/embed/XVRbs2hDgHc#isVideo,https://s-i.huffpost.com/gen/798495/images/o-WASHINGTON-NATIONALS-PRESIDENTS-RACE-facebook.jpg
